Title,Salutation,Surname,First Name,Other Names,Preferred Name,Initials,State,Political Party,Gender,Honorific,ElectorateAddressLine1,ElectorateAddressLine2,ElectorateSuburb,ElectorateState,ElectoratePostCode,ElectorateTelephone,ElectorateFax,ElectorateTollFree,LabelAddress,LabelSuburb,LabelState,LabelPostCode,Parliamentary Title
Senator the Hon,Senator,Abetz,Eric,,Eric,E.,TAS,LP,MALE,,Highbury House,136 Davey Street,Hobart,Tas,7000,(03) 6224 3707,(03) 6224 3709,1300 132 493,GPO Box 1675,Hobart,Tas,7001,
Senator,Senator,Anning,Fraser,,Fraser,F.,QLD,KAP,MALE,,"Suite 2, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 9099,(07) 3221 9399,,GPO Box 228,Brisbane,QLD,4001,
Senator,Senator,Bernardi,Cory,,Cory,C.,SA,AC,MALE,,36 Grenfell Street,,Kent Town,SA,5067,(08) 8362 8600,(08) 8362 8579,1300 880 569,PO Box 2192,Kent Town,SA,5071,
Senator,Senator,Bilyk,Catryna,Louise,Catryna,C. L.,TAS,ALP,FEMALE,,"Shop 3, Kingston Plaza",20 Channel Highway,Kingston,Tas,7050,(03) 6229 4444,(03) 6229 4100,1300 855 225,PO Box 320,Kingston,Tas,7051,
Senator the Hon,Senator,Birmingham,Simon,John,Simon,S. J.,SA,LP,MALE,,107 Sir Donald Bradman Drive,,Hilton,SA,5033,(08) 8354 1644,(08) 8354 1655,1300 301 638,107 Sir Donald Bradman Drive,Hilton,SA,5033,"Minister for Trade, Tourism and Investment, (Deputy Leader of the Government in the Senate)"
Senator,Senator,Brockman,Slade,,Slade,S.,WA,LP,MALE,,"Level 40, Exchange Toer", 2 The Esplanade,Perth,WA,6000,(08) 9414 7288,,,"Level 40, Exchange Tower, 2 The Esplanade",Perth,WA,6000,
Senator,Senator,Brown,Carol,Louise,Carol,C. L.,TAS,ALP,FEMALE,,"AMP Building, Ground Floor",27 Elizabeth Street,Hobart,Tas,7001,(03) 6231 0099,(03) 6231 3009,1300 301 532,GPO Box 376,Hobart,Tas,7001,
Senator,Senator,Burston,Brian,,Brian,B.,NSW,UAP,MALE,,"Suite 103, Level 1",43-43a The Boulevarde,Toronto,NSW,2283,(02) 4959 1044,(02) 4950 4833,1300 498 639,"Suite 103, Level 1, 43-43a The Boulevarde",Toronto,NSW,2283,
Senator,Senator,Bushby,David,Christopher,David,D. C,TAS,LP,MALE,,Suite 1,71 Paterson Street,Launceston,TAS,7250,(03) 6331 8501,,1300 134 468,PO Box 97,Launceston,TAS,7250,Chief Government Whip in the Senate
Senator the Hon,Senator,Cameron,Douglas,Niven,Doug,D. N.,NSW,ALP,MALE,,Unit 6,5 Raymond Road,Springwood,NSW,2777,(02) 4751 4288,(02) 4751 3288,1300 226 005,PO Box 322,Springwood,NSW,2777,
Senator the Hon,Senator ,Canavan,Matthew,James,Matthew,M.J.,QLD,Nats,MALE,,Ground Floor,34 East Street,Rockhampton,Qld,4700,(07) 4927 2003,(07) 4927 2004,1300 301 887,PO Box 737,Rockhampton,Qld,4700,Minister for Resources and Northern Australia
Senator the Hon,Senator,Carr,Kim,John,Kim,K. J.,VIC,ALP,MALE,,62 Lygon Street,,Carlton South,Vic,3053,(03) 9639 2798,(03) 9639 3109,,62 Lygon Street,Carlton South,Vic,3053,
Senator the Hon,Senator ,Cash,Michaelia,Clare,Michaelia,M.C.,WA,LP,FEMALE,,44 Outram Street,,West Perth,WA,6005,(08) 9226 2000,(08) 9226 2211,,PO Box 1966,West Perth,WA,6872,"Minister for Small and Family Business, Skills and Vocational Education"
Senator,Senator,Chisholm,Anthony,,Anthony,A.,QLD,ALP,MALE,,"Level 35, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3229 4477,(07) 3229 4140,,"Level 35, Waterfront Place, 1 Eagle Street",Brisbane,QLD,4000,
Senator the Hon,Senator ,Colbeck,Richard ,Mansell,Richard,R.M.,TAS,LP,MALE,,5-7 Best Street,Parliament House,Devonport,TAS,7310,(03) 6424 5960,(03) 6423 5244,,PO Box 603,Devonport,TAS,7310,Assistant Minister for Agriculture and Water Resources
Senator the Hon,Senator,Collins,Jacinta,Mary Ann,Jacinta,J. M. A.,VIC,ALP,FEMALE,,Ground Floor,1013 Whitehorse Road,Box Hill,Vic,3128,(03) 9890 7022,(03) 9890 7122,,"Ground Floor, 1013 Whitehorse Road",Box Hill,Vic,3128,
Senator the Hon,Senator ,Cormann,Mathias,Hubert Paul,Mathias,M.H.P.,WA,LP,MALE,,"Level 38, Exchange Plaza",2 The Esplanade,Perth,WA,6000,(08) 9325 4227,(08) 9325 6857,1300 301 728,GPO Box B58,Perth,WA,6838,"Minister for Finance and the Public Service, (Vice-President of the Executive Council), Leader of the Government in the Senate"
Senator,Senator,Di Natale,Richard,,Richard,R.,VIC,AG,MALE,,Level 14,90 Collins Street,Melbourne,VIC,3000,(03) 9654 0430,(03) 5221 5100,1300 883 502,"Level 14, 90 Collins Street",Melbourne,VIC,3000,
Senator,Senator,Dodson,Patrick,,Patrick,P.,WA,ALP,MALE,,Unit 1,23 Coghlan St,Djugun,WA,6725,(08) 9193 5955,(08) 9192 6010,,PO Box 3490,Broome,WA,6725,
Senator,Senator,Duniam,Jonathon,Roy,Jonathon,J.R.,TAS,LP,MALE,,85 Macquarie Street,,Hobart,TAS,7001,(03) 6231 2444,,,GPO Box 453,Hobart,TAS,7001,
Senator the Hon,Senator,Farrell,Donald,Edward,Don,D. E.,SA,ALP,MALE,,Wave Building,"Level 5, 19 Gilles Street",Adelaide,SA,5000,(08)  8231 8400,,,PO Box 6338,Halifax Street,SA,5000,
Senator,Senator,Faruqi,Mehreen,,Mehreen,M.,NSW,AG,FEMALE,,72 Campbell Street,,Surry Hills,NSW,2010,(02) 9211 1500,,,72 Campbell Street,Surry Hills,NSW,2010,
Senator the Hon,Senator,Fawcett,David,Julian,David,D.J.,SA,LP,MALE,,"Commonwealth Parliament Offices, Suite 4, Level 13",100 King William Street,Adelaide,SA,5000,(08) 8205 1040,(08) 8205 1045,,"Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,Assistant Minister for Defence
Senator the Hon,Senator,Fierravanti-Wells,Concetta,,Concetta,C.,NSW,LP,FEMALE,,"Suite 1, Level 2,","6-8 Regent Street,",Wollongong,NSW,2500,(02) 4226 1700,(02) 4226 1733,1300 735 268,PO Box 886,Wollongong,NSW,2520,
Senator the Hon,Senator,Fifield,Mitchell,Peter,Mitch,M. P.,VIC,LP,MALE,,42 Florence Street,,Mentone,VIC,3194,(03) 9584 2455,,1300 797 110,42 Florence Street,Mentone,VIC,3194,"Minister for Communication and the Arts, (Manager of Government Business in the Senate)"
Senator,Senator,Gallacher,Alexander,McEachian,Alex,A. M.,SA,ALP,MALE,,265 Churchill Road,,Prospect,SA,5082,(08) 8269 6022,(08) 8269 6044,,265 Churchill Road,Prospect,SA,5082,
Senator,Senator,Georgiou,Peter,,Peter,P.,WA,PHON,MALE,,"Units 4 & 5, 162 Colin Street",,West Perth,WA,6005,(08) 9226 1750,,1300 512 510,PO Box 6,West Perth,WA,6872,
Senator,Senator,Gichuhi,Lucy,Muringo,Lucy,L.M.,SA,LP,FEMALE,,Suite 10 Commonwealth Parliament Offices,"Level 13, 100 King William Street",Adelaide,SA,5000,(08) 8205 1050,,,"Suite 10 Commonwealth Parliament Offices, Level 13, 100 King William Street",Adelaide,SA,5000,
Senator,Senator,Griff,Stirling,,Stirling,S.,SA,CA,MALE,,"Level 3, 27 Leigh Street",,Adelaide,SA,5000,(08) 8212 1409,(08) 8231 2053,,PO Box 8117,Adelaide,SA,5000,
Senator,Senator,Hanson,Pauline,Lee,Pauline,P.L.,QLD,PHON,FEMALE,,"Suite 6, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 7644,(07) 3221 8422,,GPO Box 228,Brisbane,QLD,4001,
Senator,Senator,Hanson-Young,Sarah,Coral,Sarah,S.C.,SA,AG,FEMALE,,"Level 7, 147  Pirie Street",,Adelaide,SA,5000,(08) 8227 0425,(08) 8227 0426,,"Level 7, 147  Pirie Street",Adelaide,SA,5000,
Senator,Senator,Hinch,Derryn,Nigel,Derryn,D.N.,VIC,DHJP,MALE,,"Level 14, 1 Queens Road",,Melbourne,VIC,3004,(03) 9820 2222,(03) 9820 0638,1300 498 035,PO Box 33241,Melbourne,VIC,3004,
Senator,Senator,Hume,Jane,,Jane,J.,VIC,LP,FEMALE,,223 Bridge Road,,Richmond,VIC,3121,(03) 9232 8820,( 03) 9232 8839,,PO Box 224,Richmond,VIC,3121,Deputy Government Whip in the Senate
Senator the Hon,Senator ,Keneally,Kristina,Kerscher,Kristina,K.K. ,NSW,ALP,FEMALE,,"Suite 503, Level 5",56 Station Street,Parramatta,NSW,2150,02) 9891 9139,(02) 9687 4394,,"Suite 503, Level 5, 56 Station Street",Parramatta,NSW,2150,
Senator,Senator,Ketter,Christopher,Ronald,Chris,C.R.,QLD,ALP,MALE,,"'Crossroads', 454 Gympie Road",,Strathpine,Qld,4500,(07) 3881 3710,(07) 3881 3755,1300 884 489,PO Box  2246,Strathpine Centre,Qld,4500,
Senator,Senator,Kitching,Kimberley,,Kimberley,K.,VIC,ALP,FEMALE,,6 English Street,,Essendon Fields,VIC,3041,(03) 9374 1640,,,6 English Street,Essendon Fields,VIC,3041,3002
Senator,Senator,Leyonhjelm,David,Ean,David,D.E.,NSW,LDP,MALE,,Suite 405 Henry Lawson Building,19 Roseby Street,Drummoyne,NSW,2047,(02) 9719 1078,(02) 9181 5462,1300 884 092,PO Box 636,Drummoyne,NSW,1470,
Senator,Senator,Lines,Susan,,Sue,S.,WA,ALP,FEMALE,,51 Ord Street,,West Perth,WA,6005,(08) 9481 4844,(08) 9481 4244,1300 655 388,PO Box 1322,West Perth,WA,6872,"Deputy President, Chair of Committees"
Senator the Hon,Senator,Macdonald,Ian,Douglas,Ian,I. D.,QLD,LP,MALE,,Level 1,131 Denham Street,Townsville,Qld,4810,(07) 4771 3066,(07) 4771 3411,1300 301 949,PO Box 2185,Townsville,Qld,4810,
Senator,Senator,Marshall,Gavin,Mark,Gavin,G. M.,VIC,ALP,MALE,,"Level 4, Suite 4.6 Melbourne Commonwealth Parliament Offices",4 Treasury Place,East Melbourne,Vic,3002,(03) 9348 9699,(03) 9348 9837,,"Level 4, Suite 4.6 Melbourne Commonwealth Parliament Offices,4 Treasury Place",East Melbourne,Vic,3002,
Senator,Senator,Martin,Steven,Leigh,Steve,S.L.,TAS,NATS,MALE,,"Level 1, 21 Best Street ",,Devonport,Tas,7310,(03) 6420 7560,,,"Level 1, 21 Best Street ",Devonport,Tas,7310,
Senator,Senator,McAllister,Jennifer,Ryll,Jenny,J.R.,NSW,ALP,FEMALE,,Suite 1,1 Park Avenue,Drummoyne,NSW,2047,(02) 9719 8100,(02) 9719 8078,1300 301 752,"Suite 1, 1 Park Avenue",Drummoyne,NSW,2047,Deputy Opposition Whip in the Senate
Senator,Senator,McCarthy,Malarndirri,,Malarndirri,M.,NT,ALP,FEMALE,,38B Mitchell Street,,Darwin,NT,800,(08) 8941 0003,(08) 8941 0071,,PO Box 1596,Darwin,NT,801,
Senator the Hon,Senator,McGrath,James,,James,J.,QLD,LP,MALE,,Tenancy A,2-4 Mitchell Street,Nambour,QLD,4560,(07) 5441 1800,(07) 5441 1699,1300 769 412,PO Box 772,Nambour,QLD,4560,
Senator the Hon,Senator ,McKenzie,Bridget,,Bridget,B.,VIC,Nats,FEMALE,,279 Hargreaves Street,,Bendigo,VIC,3550,(03) 5441 4251,(03) 5441 4260,1300 889 103,279 Hargreaves Street,Bendigo,VIC,3550,"Minister for Regional Services, Sport, Local Government and Decentralisation, Deputy Leader of the Nationals"
Senator,Senator,McKim,Nicholas,James,Nick,N.J.,TAS,AG,MALE,,149B Macquarie Street,,Hobart,TAS,7000,(03) 6224 8899,(03) 6224 7599,1300 131 720,GPO Box 896,Hobart,TAS,7001,
Senator,Senator,Molan,Andrew,James,Jim,A.J.,NSW,LP,MALE,"AO, DSC",Shop 101A Riverside Plaza,131 Monaro Street,Queanbeyan,NSW,2620,(02) 6284 3115,(02) 6299 2728,,PO Box 548,Queanbeyan,NSW,2620,
Senator,Senator,Moore,Claire,Mary,Claire,C. M.,QLD,ALP,FEMALE,,"Suite 14 B, 1st Floor Brunswick Central",421 Brunswick Street,Fortitude Valley,Qld,4006,(07) 3252 7101,(07) 3252 8957,1300 301 879,"PO Box 907, Fortitude Valley Post Shop",Fortitude Valley,Qld,4006,
Senator,Senator,O'Neill,Deborah,,Deborah,D.,NSW,ALP,FEMALE,,"Suite 3.12, The Platinum Building",4 Ilya Avenue,Erina,NSW,2250,(02) 4367 4565,(02) 4367 3506,,"Suite 3.12, The Platinum Building, 4 Ilya Avenue",Erina,NSW,2250,
Senator,Senator,O'Sullivan,Barry,James,Barry,B. J.,QLD,Nats,MALE,,Tenancy A,189 Hume Street,Toowoomba,Qld,4350,(07) 4638 7555,(07) 4638 7199,,PO Box 3135,Toowoomba,Qld,4350,
Senator,Senator,Paterson,James,,James,J.,VIC,LP,MALE,,"Ground Floor, 63 York Street",4 Treasury Place,South Melbourne,VIC,3205,(03) 9690 2201,,,PO Box 657,South Melbourne,VIC,3205,
Senator,Senator,Patrick,Rex,Lyall,Rex,R.L.,SA,CA,MALE,,Level 2,31 Ebenezer Place,Adelaide,SA,5000,(08) 8232 1144,(08) 8232 3744,1300 556 115,"Level 2, 31 Ebenezer Place",Adelaide,SA,5000,
Senator the Hon,Senator,Payne,Marise,Ann,Marise,M. A.,NSW,LP,FEMALE,,2-12 Macquarie Street,,Parramatta,NSW,2150,(02) 9687 8755,(02) 9687 8466,,PO Box 1420,Parramatta,NSW,2150,Minister for Foreign Affairs
Senator,Senator,Polley,Helen,,Helen,H.,TAS,ALP,FEMALE,,"'The Charles', Suite 101",287 Charles Street,Launceston,Tas,7250,(03) 6331 2599,(03) 6331 2588,1300 134 923,PO Box 1223,Launceston,Tas,7250,
Senator,Senator,Pratt,Louise,Clare,Louise,L.C.,WA,ALP,FEMALE,,183 Great Eastern Highway,,Belmont,WA,6104,(08) 9277 1502,(08) 9277 1509,1300 545 179,PO Box 531,Belmont,WA,6984,
Senator the Hon,Senator,Reynolds,Linda,Karen,Linda,L.K.,WA,LP,FEMALE,CSC,"Suite C, 117 Great Eastern Highway",,Rivervale,WA,6103,(08) 9477 5411,,,PO Box 369,Belmont,WA,6984,Assistant Minister for Home Affairs
Senator,Senator,Rice,Janet,Elizabeth,Janet,J.E.,VIC,AG,FEMALE,,240 Sydney Road,,Coburg,Vic,3058,(03) 9384 6199,(03) 9384 6399,,240 Sydney Road,Coburg,Vic,3058,
Senator the Hon,Senator,Ruston,Anne,,Anne,A.,SA,LP,FEMALE,,9 Renmark Avenue,,Renmark,SA,5341,(08) 8586 6600,(08) 8595 1700,1300 857 022,PO Box 1671,Renmark,SA,5341,Assistant Minister for International Development and the Pacific
Senator the Hon,Senator,Ryan,Scott,Michael,Scott,S.M.,VIC,LP,MALE,,12 Pascoe Vale Road,,Moonee Ponds,Vic,3039,(03) 9326 1088,(03) 9370 9120,,PO Box 556,Moonee Ponds,Vic,3039,President of the Senate
Senator the Hon,Senator,Scullion,Nigel,Gregory,Nigel,N. G.,NT,CLP,MALE,,"Unit 1, 229 McMillans Road",,Jingili,NT,810,(08) 8948 3555,(08) 8948 3544,,PO Box 40021,Casuarina,NT,811,Minister for Indigenous Affairs
Senator the Hon,Senator ,Seselja,Zdenko,Matthew,Zed,Z. M.,ACT,LP,MALE,,Shop 1,25 Earnest Cavanagh Street,Gungahlin,ACT,2912,(02) 6247 6444,(02) 6257 4140,,PO Box 705,Gungahlin,ACT,2912,Assistant Minister for Treasury and Finance
Senator,Senator,Siewert,Rachel,,Rachel,R.,WA,AG,FEMALE,,"Unit 11, Level 2",440 William Street,Perth,WA,6000,(08) 9228 3277,,1300 881 218,"Unit 11, Level 2, 440 William Street ",Perth,WA,6000,Australian Greens Whip
Senator the Hon,Senator,Singh,Lisa,Maria,Lisa,L. M.,TAS,ALP,FEMALE,,152 Macquarie Street,,Hobart,TAS,7000,(03) 6223 1135,(03) 6223 1250,,GPO Box 271,Hobart,TAS,7001,
Senator the Hon,Senator,Sinodinos,Arthur,,Arthur,A,NSW,LP,MALE,AO,Suite 3  Level 20,1 Bligh Street,Sydney,NSW,2000,(02) 8289 9450,,,"Suite 3  Level 20, 1 Bligh Street",Sydney,NSW,2000,
Senator,Senator,Smith,David,,David,David,ACT,ALP,MALE,,"Unit A, Ground Floor, Law Society Building",11 London Circuit,Canberra,ACT,2601,(02) 6230 0411,(02) 6230 0413,,"Unit A, Ground Floor, Law Society Building,11 London Circuit",Canberra,ACT,2601,
Senator,Senator,Smith,Dean,Anthony,Dean,D. A.,WA,LP,MALE,,48 Ventnor Avenue,,West Perth,WA,6005,(08) 9481 0349,08 9321 4876,1300 301 849,PO Box 930,West Perth,WA,6872,Deputy Government Whip in the Senate
Senator,Senator,Steele-John,Jordon,,Jordon,J.,WA,AG,MALE,,Level 40 Exchange Tower,2 the Esplanade,Perth,WA,6000,(08) 6245 3310,,"Level 27 Exchange Tower, 2 the Esplanade",,Perth,WA,6838,
Senator,Senator,Sterle,Glenn,,Glenn,G.,WA,ALP,MALE,,6a Market City,280 Bannister Road,Canning Vale,WA,6155,(08) 9455 1420,(08) 9455 1421,1300 666 494,"Mailpoint 22, Market City, 280 Bannister Road",Canning Vale,WA,6155,
Senator,Senator,Stoker,Amanda,Jane,Amanda,A.J.,QLD,LP,FEMALE,,"Suite 10, Level 36 Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3001 8170,(07) 3001 8178,,GPO Box 228,Brisbane,QLD,4001,
Senator,Senator,Storer,Timothy,Raphael,Tim,T.R.,SA,IND,MALE,,187 Grenfell Street,,Adelaide,SA,5000,(08) 8282 0220,(08) 8232 4161,1300 738 260,187 Grenfell Street,Adelaide,SA,5000,
Senator,Senator,Urquhart,Anne,Elizabeth,Anne,A. E.,TAS,ALP,FEMALE,,Ground Floor,69 Best Street,Devonport,Tas,7310,(03) 6423 1933,(03) 6423 3544,1300 792 331,PO Box 360,Devonport,Tas,7310,Opposition Whip in the Senate
Senator,Senator,Waters,Larissa,Joy,Larissa,L.J.,QLD,AG,FEMALE,,Level 2,251 Given Terrace,Paddington,Qld,4064,(07) 3367 0566,(07) 3367 0577,,Locked bag 3004,Paddington,Qld,4064,
Senator,Senator,Watt,Murray,Patrick,Murray,M.P.,QLD,ALP,MALE,,Suite G04 Kay House,35 Scarborough Street,Southport,QLD,4215,(07) 5531 1033,,,PO Box 310,Southport Business Centre,QLD,4215,
Senator,Senator,Whish-Wilson,Peter,Stuart,Peter,P. S.,TAS,AG,MALE,,37 George Street,,Launceston,TAS,7250,(03) 6331 0033,(03) 6331 2044,1300 449 012,PO Box 5194,Launceston,TAS,7250,
Senator,Senator,Williams,John,Reginal,John,J. R.,NSW,Nats,MALE,,144 Byron Street,,Inverell,NSW,2360,(02) 6721 4500,(02) 6721 4544,1300 301 816,144 Byron Street,Inverell,NSW,2360,Nationals Whip in the Senate
Senator the Hon,Senator,Wong,Penny,,Penny,P.,SA,ALP,FEMALE,,Level 4,19 Gouger Street,Adelaide,SA,5000,(08) 8212 8272,(08) 8212 8273,1300 301 698,"PO Box 6237, Halifax Street",Adelaide,SA,5000,Leader of the Opposition in the Senate
